_step,time_per_step,consistency_loss,reconstruction_loss,step,_runtime,uniformity_loss,learning_rate,clip_loss,_timestamp,total_loss
354,1.070075511932373,-2.066025217573042e-08,0.08658984303474426,354,2184.758899128,0.5386947393417358,0.0001,0,1770475334.9582808,0.11352457851171494
355,1.0695610046386719,0.025105034932494164,0.06818810850381851,355,2185.830619131,0.5184646248817444,0.0001,0,1770475336.0285938,0.0946134403347969
359,1.0730624198913574,-2.0541222056635888e-08,0.08643396943807602,359,2190.121753197,0.5316084027290344,0.0001,0,1770475340.3166654,0.11301439255475998
361,1.0730342864990234,0.07803115248680115,0.0806553065776825,361,2192.268432622,0.5155553817749023,0.0001,0,1770475342.4654818,0.1079936996102333
363,1.0727200508117676,-2.0768311514984816e-08,0.06671450287103653,363,2194.414458007,0.5230574011802673,0.0001,0,1770475344.611658,0.09286737442016602
365,1.0713374614715576,-2.0716129256470595e-08,0.07167842239141464,365,2196.56851198,0.5036443471908569,0.0001,0,1770475346.7562234,0.09686063975095749
370,1.0715489387512207,0.07147829234600067,0.07490019500255585,370,2201.938751828,0.5126677751541138,0.0001,0,1770475352.1362271,0.10196314752101898
371,1.0713443756103516,0.07771002501249313,0.07130872458219528,371,2203.012573895,0.5060603618621826,0.0001,0,1770475353.2085655,0.09816594421863556
373,1.0741620063781738,-2.072141569442465e-08,0.06759294122457504,373,2205.161276253,0.5067188739776611,0.0001,0,1770475355.357206,0.09292888641357422
376,1.0726118087768555,-2.0630295693990774e-08,0.07947301119565964,376,2208.381169266,0.5239585638046265,0.0001,0,1770475358.5780847,0.10567094385623932
380,1.0916588306427002,0.06818177551031113,0.07436703145503998,380,2212.698935541,0.5028491020202637,0.0001,0,1770475362.8878217,0.10087312012910843
382,1.073066234588623,0.08269054442644119,0.08246215432882309,382,2214.846796921,0.5113129615783691,0.0001,0,1770475365.0424006,0.1096816137433052
384,1.2098395824432373,-2.0675486211985117e-08,0.06811418384313583,384,2217.130625328,0.5100042819976807,0.0001,0,1770475367.3270938,0.09361439943313599
390,1.0809917449951172,-2.0816969481529668e-08,0.07241181284189224,390,2223.581755114,0.5154480934143066,0.0001,0,1770475373.7789505,0.09818422049283981
391,1.071786642074585,-2.0689469693024876e-08,0.07050742954015732,391,2224.656717227,0.5015032291412354,0.0001,0,1770475374.851425,0.09558258950710297
397,1.0726661682128906,-2.0995969407522352e-08,0.07275944203138351,397,2231.128135525,0.504422664642334,0.0001,0,1770475381.3234732,0.0979805737733841
399,1.0725643634796143,0.09036532044410706,0.06351760029792786,399,2233.275089374,0.47797298431396484,0.0001,0,1770475383.4712424,0.08922355622053146
402,1.0721070766448975,0.028982896357774734,0.05920793488621712,402,2236.491020288,0.48946860432624817,0.0001,0,1770475386.6899147,0.08426102250814438
405,1.071345567703247,0.10533701628446579,0.06102362275123596,405,2239.708059439,0.4844803214073181,0.0001,0,1770475389.903251,0.087354376912117
406,1.0735342502593994,-2.0818333723582327e-08,0.0696946233510971,406,2240.78112229,0.48354947566986084,0.0001,0,1770475390.9777381,0.09387210011482239
407,1.0722370147705078,0.08276861906051636,0.07999525964260101,407,2241.853720976,0.49020516872406006,0.0001,0,1770475392.0507927,0.10616088658571243
408,1.0718913078308105,0.08232618868350983,0.06853603571653366,408,2242.926679685,0.48433470726013184,0.0001,0,1770475393.1234343,0.09439929574728012
411,1.071286678314209,-2.083470462821424e-08,0.07924818992614746,411,2246.142790542,0.5073766708374023,0.0001,0,1770475396.3413992,0.10461702197790146
413,1.0704162120819092,0.02044546604156494,0.06505165249109268,413,2248.293824953,0.48248931765556335,0.0001,0,1770475398.483705,0.08958502858877182
414,1.0790810585021973,0.021872511133551598,0.061664704233407974,414,2249.367629139,0.4528292119503021,0.0001,0,1770475399.5635335,0.08474361896514893
422,1.0710577964782715,0.0753987580537796,0.05825222656130791,422,2257.947865046,0.44121265411376953,0.0001,0,1770475408.1446972,0.08182083815336227
426,1.0721089839935303,-2.0787865651072934e-08,0.07533057034015656,426,2262.240636061,0.4363836646080017,0.0001,0,1770475412.4386718,0.09714975208044052
430,1.1036431789398193,-2.0820323243242456e-08,0.06691150367259979,430,2266.567977257,0.4261818528175354,0.0001,0,1770475416.7588136,0.08822059631347656
431,1.0778625011444092,-2.072295046673389e-08,0.07233981043100357,431,2267.671166704,0.4149758219718933,0.0001,0,1770475417.8375993,0.09308860450983047
432,1.1023731231689453,0.02161509171128273,0.06834390759468079,432,2268.743248933,0.42796939611434937,0.0001,0,1770475418.9408505,0.09017468243837357
442,1.0717813968658447,0.03256731480360031,0.07089405506849289,442,2279.473727922,0.3977525234222412,0.0001,0,1770475429.6648448,0.09143302589654922
444,1.0784692764282227,0.029123401269316673,0.06223822757601738,444,2281.624781898,0.4165405035018921,0.0001,0,1770475431.8226814,0.0836477279663086
445,1.0709311962127686,0.09673725068569183,0.06200243532657623,445,2282.697543809,0.42094969749450684,0.0001,0,1770475432.8945363,0.0849846675992012
446,1.071906328201294,0.015162546187639236,0.06812650710344315,446,2283.76930841,0.41679489612579346,0.0001,0,1770475433.9672081,0.08926950395107269
448,1.0703330039978027,0.024353306740522385,0.06214762106537819,448,2285.914464761,0.3958374261856079,0.0001,0,1770475436.1101222,0.08242655545473099
451,1.0694782733917236,0.10033302009105682,0.0704985186457634,451,2289.130813784,0.4081075191497803,0.0001,0,1770475439.3279123,0.09291055053472519
452,1.071807622909546,0.06176770105957985,0.07009708136320114,452,2290.202313433,0.3684860169887543,0.0001,0,1770475440.4004812,0.08975673466920853
456,1.070566177368164,-2.110073182848282e-08,0.06723979115486145,456,2294.491105303,0.3570980131626129,0.0001,0,1770475444.6874602,0.08509469032287598
457,1.072418451309204,-2.104866325680632e-08,0.05956494063138962,457,2295.562815535,0.37681877613067627,0.0001,0,1770475445.7607274,0.07840587943792343
458,1.070685863494873,0.06890499591827393,0.06709112972021103,458,2296.635541641,0.3562015891075134,0.0001,0,1770475446.83247,0.08627931028604507
463,1.0702414512634277,-2.0915422282996587e-08,0.05875550955533981,463,2302.001994237,0.3355843424797058,0.0001,0,1770475452.199037,0.07553473114967346
469,1.0702288150787354,-2.081998218272929e-08,0.06126967445015907,469,2308.434638425,0.32916003465652466,0.0001,0,1770475458.6330767,0.07772767543792725
472,1.0704498291015625,0.0357760414481163,0.0689707025885582,472,2311.648599186,0.350532203912735,0.0001,0,1770475461.8455954,0.08721283823251724
473,1.0718848705291748,-2.0881316231680103e-08,0.0713982954621315,473,2312.721890727,0.3618769645690918,0.0001,0,1770475462.9182239,0.08949214220046997
480,1.0701825618743896,-2.0891491203656187e-08,0.06519071757793427,480,2320.234830983,0.327589213848114,0.0001,0,1770475470.4309335,0.08157017827033997
482,1.0720036029815674,0.06130584329366684,0.06271801888942719,482,2322.408099951,0.3398791551589966,0.0001,0,1770475472.577329,0.08093809336423874
489,1.0709407329559326,-2.0899562969134422e-08,0.0670056864619255,489,2329.931543304,0.3522109091281891,0.0001,0,1770475480.1289701,0.08461622893810272
491,1.070936679840088,-2.0683785351138795e-08,0.0660441666841507,491,2332.078446803,0.332141250371933,0.0001,0,1770475482.2730663,0.08265122771263123
496,1.0696275234222412,0.06010543927550316,0.06970604509115219,496,2337.438473256,0.32520610094070435,0.0001,0,1770475487.636647,0.08716845512390137
498,1.077920913696289,-2.081776528939372e-08,0.06502967327833176,498,2339.590547565,0.3260507583618164,0.0001,0,1770475489.7873142,0.08133221417665482
504,1.0820162296295166,-2.085641881421907e-08,0.0596482940018177,504,2346.519441029,0.34489646553993225,0.0001,0,1770475496.7131379,0.07689312100410461
505,1.0746877193450928,-2.071863036690047e-08,0.06399152427911758,505,2347.592645665,0.3318408727645874,0.0001,0,1770475497.7890594,0.08058357238769531
506,1.0724694728851318,0.0755566880106926,0.056265659630298615,506,2348.66600397,0.3376806676387787,0.0001,0,1770475498.862357,0.07466083019971848
